iter	RMSE
0	61.02480764
1	59.68856617
2	58.37052973
3	57.10850494
4	55.88303081
5	54.67282755
6	53.49493262
7	52.32522475
8	51.20223002
9	50.12381673
10	49.04088868
11	47.97443798
12	46.94408072
13	45.96433727
14	44.98252235
15	44.02979996
16	43.09945325
17	42.1660551
18	41.27022676
19	40.38178296
20	39.52579528
21	38.73441075
22	37.90195622
23	37.12774187
24	36.3754467
25	35.61426574
26	34.90416595
27	34.19379852
28	33.49526715
29	32.80971534
30	32.15710844
31	31.49551575
32	30.87544709
33	30.2477116
34	29.63502607
35	29.02366265
36	28.44455099
37	27.87155382
38	27.30754715
39	26.76287433
40	26.21873724
41	25.71583431
42	25.21856741
43	24.7142718
44	24.2270143
45	23.77016864
46	23.31219069
47	22.87043317
48	22.43175598
49	22.0017572
50	21.58886088
51	21.17961039
52	20.77935104
53	20.36450134
54	19.96840519
55	19.61668509
56	19.25914102
57	18.90438959
58	18.56033244
59	18.21740545
60	17.8916743
61	17.56566179
62	17.24048791
63	16.93944455
64	16.63926983
65	16.33680486
66	16.0496042
67	15.78593829
68	15.50892843
69	15.2327868
70	14.95886032
71	14.69421342
72	14.44533943
73	14.1917326
74	13.95606953
75	13.71030493
76	13.47403625
77	13.23795425
78	13.00481343
79	12.77662578
80	12.58252862
81	12.37743671
82	12.17213189
83	11.96694285
84	11.76505995
85	11.57960939
86	11.40078222
87	11.2138528
88	11.02254099
89	10.84200463
90	10.67414803
91	10.517027
92	10.3552279
93	10.20534472
94	10.04300013
95	9.893178822
96	9.740701461
97	9.601279844
98	9.468764323
99	9.323807934
100	9.191967223
101	9.062970491
102	8.924656726
103	8.791990918
104	8.663515447
105	8.531349946
106	8.413279073
107	8.304302605
108	8.185971304
109	8.082525054
110	7.985454874
111	7.891183015
112	7.793038667
113	7.689311653
114	7.59527005
115	7.490672056
116	7.400143157
117	7.300064776
118	7.203652207
119	7.106286647
120	7.027976155
121	6.942741285
122	6.857824453
123	6.774590902
124	6.686361151
125	6.619071599
126	6.549511941
127	6.472879674
128	6.40837336
129	6.344793312
130	6.274568209
131	6.216126507
132	6.141787103
133	6.08368777
134	6.019352451
135	5.963969822
136	5.898704623
137	5.832720213
138	5.78135206
139	5.72558397
140	5.663723805
141	5.616370671
142	5.571688446
143	5.515760354
144	5.468560118
145	5.408787164
146	5.363779941
147	5.309320332
148	5.261986231
149	5.224039587
150	5.184868978
151	5.145171954
152	5.094358286
153	5.054538422
154	5.004849528
155	4.957826382
156	4.919313074
157	4.882383536
158	4.849703485
159	4.812781908
160	4.780216716
161	4.737076613
162	4.70503702
163	4.664351754
164	4.624097535
165	4.581397247
166	4.550271328
167	4.519754673
168	4.488904835
169	4.452038904
170	4.423251553
171	4.389943051
172	4.360414124
173	4.324069111
174	4.291257728
175	4.257267798
176	4.232780528
177	4.196578067
178	4.159236743
179	4.133249714
180	4.098915515
181	4.074989438
182	4.051419824
183	4.023260772
184	4.00300977
185	3.976394472
186	3.948647036
187	3.92125628
188	3.901158388
189	3.88171762
190	3.86230315
191	3.839795484
192	3.819695166
193	3.787979851
194	3.769085147
195	3.750425687
196	3.720962796
197	3.704440418
198	3.686006994
199	3.669397269
200	3.64122149
201	3.617726556
202	3.595423289
203	3.578292331
204	3.563989159
205	3.547836653
206	3.533731804
207	3.517869075
208	3.501398494
209	3.485455251
210	3.472040869
211	3.455161507
212	3.431630708
213	3.412366738
214	3.396164041
215	3.382321564
216	3.367126767
217	3.355025027
218	3.342643557
219	3.328354905
220	3.308681428
221	3.288663472
222	3.27609234
223	3.255642265
224	3.238479378
225	3.227123065
226	3.213934939
227	3.204766879
228	3.194413586
229	3.17425448
230	3.164618053
231	3.155167364
232	3.13986642
233	3.129821083
234	3.113373947
235	3.095046605
236	3.086288329
237	3.076603875
238	3.066884215
239	3.049226451
240	3.035850547
241	3.018707023
242	3.009355949
243	3.001667489
244	2.988032599
245	2.980007421
246	2.972269049
247	2.956492242
248	2.945143674
249	2.93047514
250	2.916760801
251	2.906289282
252	2.898673282
253	2.892515887
254	2.879688817
255	2.873362353
256	2.864295986
257	2.856314675
258	2.845435192
259	2.834398825
260	2.820482513
261	2.814073355
262	2.802412308
263	2.795437039
264	2.786303572
265	2.779347972
266	2.772101109
267	2.758852021
268	2.753913537
269	2.74861642
270	2.736706335
271	2.728581245
272	2.715765959
273	2.710405654
274	2.701042211
275	2.692764258
276	2.685261806
277	2.676707975
278	2.668631554
279	2.66407777
280	2.655754921
281	2.642358041
282	2.636590987
283	2.63106201
284	2.623653826
285	2.613227328
286	2.605862078
287	2.600636481
288	2.593002714
289	2.584304885
290	2.575952032
291	2.572153187
292	2.567866766
293	2.558716313
294	2.553401324
295	2.547968221
296	2.541542566
297	2.537908374
298	2.534150314
299	2.53015191
300	2.527095756
301	2.520681955
302	2.515017333
303	2.510834598
304	2.506452223
305	2.503016355
306	2.498459334
307	2.495163975
308	2.486445718
309	2.482765676
310	2.473716813
311	2.470546362
312	2.460895547
313	2.45590311
314	2.446849601
315	2.440758317
316	2.437983321
317	2.433442947
318	2.430562416
319	2.422937278
320	2.419263496
321	2.411112027
322	2.40071631
323	2.392240321
324	2.388828962
325	2.377806678
326	2.371768916
327	2.366931669
328	2.361749194
329	2.355590979
330	2.348357006
331	2.34156272
332	2.338444353
333	2.333860847
334	2.328180354
335	2.321333629
336	2.318085812
337	2.314450379
338	2.304967783
339	2.298156656
340	2.295828753
341	2.291774826
342	2.286818624
343	2.283202117
344	2.277549163
345	2.274528281
346	2.265757698
347	2.261831838
348	2.252770683
349	2.247373147
350	2.238793571
351	2.233699689
352	2.22996355
353	2.226464306
354	2.220077676
355	2.216899479
356	2.213774308
357	2.211353016
358	2.207060378
359	2.203327453
360	2.198665501
361	2.192360141
362	2.185303953
363	2.181071301
364	2.179230721
365	2.177285497
366	2.174244202
367	2.172342242
368	2.164435527
369	2.158716166
370	2.153733752
371	2.146382044
372	2.141266091
373	2.137115075
374	2.130453768
375	2.125436776
376	2.120978497
377	2.118916927
378	2.117194366
379	2.112740694
380	2.106807984
381	2.104889609
382	2.099433929
383	2.096632992
384	2.092803858
385	2.091259942
386	2.087474275
387	2.083502337
388	2.077358876
389	2.072107524
390	2.068624071
391	2.064895884
392	2.059619761
393	2.053280532
394	2.050863407
395	2.046756039
396	2.04290843
397	2.038303782
398	2.035106321
399	2.030779886
400	2.02729744
401	2.023453824
402	2.017861666
403	2.014754825
404	2.009891184
405	2.006572474
406	2.003008516
407	1.99774486
408	1.991951318
409	1.989646453
410	1.986792547
411	1.982184532
412	1.97985864
413	1.97487312
414	1.971295212
415	1.967719361
416	1.964996192
417	1.960380133
418	1.957355008
419	1.954627413
420	1.950968256
421	1.947724061
422	1.943740844
423	1.939100657
424	1.936057761
425	1.931083688
426	1.928579104
427	1.926567054
428	1.922034624
429	1.917466513
430	1.91417623
431	1.909249698
432	1.907640346
433	1.906176918
434	1.903889661
435	1.900617254
436	1.898503136
437	1.896505126
438	1.894023417
439	1.891007979
440	1.887779459
441	1.883392368
442	1.87874062
443	1.87698622
444	1.874074444
445	1.871804035
446	1.8696271
447	1.866730026
448	1.862527522
449	1.860120576
450	1.855847097
451	1.852519283
452	1.850546263
453	1.847658773
454	1.844799255
455	1.842829163
456	1.840284461
457	1.838089895
458	1.83673014
459	1.833632627
460	1.831659336
461	1.829201463
462	1.824904804
463	1.821524518
464	1.81880843
465	1.816301494
466	1.813688413
467	1.811544715
468	1.810012055
469	1.807279295
470	1.803964957
471	1.801709101
472	1.799535033
473	1.796982486
474	1.794090833
475	1.792134969
476	1.788589059
477	1.785560767
478	1.7827601
479	1.779323261
480	1.775147431
481	1.771564207
482	1.769143696
483	1.766650713
484	1.765056308
485	1.763661757
486	1.760649124
487	1.758508692
488	1.75476771
489	1.752317019
490	1.750777059
491	1.747667946
492	1.744480932
493	1.741137662
494	1.739645305
495	1.736486369
496	1.73430268
497	1.731904317
498	1.728548183
499	1.726442713
500	1.723792795
501	1.720848072
502	1.718581991
503	1.715045091
504	1.713220397
505	1.709202388
506	1.705695952
507	1.703255614
508	1.700418454
509	1.698813813
510	1.696408778
511	1.694695485
512	1.691350641
513	1.688372035
514	1.686232337
515	1.683750999
516	1.682501187
517	1.679655255
518	1.676713172
519	1.675341324
520	1.673963357
521	1.67155393
522	1.668870001
523	1.66607966
524	1.664513035
525	1.661367022
526	1.658612519
527	1.655793374
528	1.652398144
529	1.64969032
530	1.648412278
531	1.646469875
532	1.644050859
533	1.640652674
534	1.637778542
535	1.635492313
536	1.633797652
537	1.631054145
538	1.629553404
539	1.626603349
540	1.624070127
541	1.621070772
542	1.618990539
543	1.616868024
544	1.615010666
545	1.612547889
546	1.610500703
547	1.608502093
548	1.607207299
549	1.605200052
550	1.602572283
551	1.600212309
552	1.597820491
553	1.595585119
554	1.594273582
555	1.592373494
556	1.58955532
557	1.585835472
558	1.582385444
559	1.579621021
560	1.577748738
561	1.574492539
562	1.573278231
563	1.570662188
564	1.569092247
565	1.567330151
566	1.565564433
567	1.563491476
568	1.562040562
569	1.559915777
570	1.557799557
571	1.555783511
572	1.553932452
573	1.551914292
574	1.549436313
575	1.547737483
576	1.545891795
577	1.542823203
